name,categories,街镇名,lat,lng
江杨北路,居住区,杨行镇,31.40967351,121.4352203
铁力路,混合区,杨行镇,31.40968518,121.4567567
美兰湖,居住区,罗店镇,31.40367785,121.3453341
友谊路,混合区,友谊路街道,31.40603889,121.471343
富锦路,居住区,杨行镇,31.39407812,121.4200089
宝杨路,混合区,友谊路街道,31.39723847,121.4751486
嘉定北,混合区,菊园新区管委会,31.39350895,121.2330445
罗南新村,居住区,罗店镇,31.39046622,121.3528965
友谊西路,居住区,杨行镇,31.38295741,121.4233486
水产路,居住区,吴淞街道,31.38331571,121.4836426
嘉定西,居住区,菊园新区管委会,31.37915247,121.2234676
淞滨路,居住区,吴淞街道,31.37318785,121.4882631
宝安公路,居住区,杨行镇,31.37127728,121.4263946
潘广路,居住区,顾村镇,31.36603876,121.3512239
刘行,居住区,顾村镇,31.35939109,121.3577951
张华浜,混合区,吴淞街道,31.35981072,121.4943277
共富新村,居住区,杨行镇,31.35688521,121.4296605
港城路,居住区,高桥镇,31.35513742,121.5706245
外高桥保税区北站,混合区,外高桥保税区,31.34993618,121.5827544
白银路,居住区,嘉定工业区,31.34735232,121.2409458
顾村公园,居住区,顾村镇,31.34640865,121.3683836
淞发路,混合区,淞南镇,31.34717633,121.4960361
呼兰路,混合区,张庙街道,31.34155855,121.4331022
航津路,混合区,外高桥保税区,31.33754121,121.5897952
上海赛车场,混合区,安亭镇,31.33383639,121.221692
嘉定新城,居住区,马陆镇,31.33207255,121.2500052
通河新村,居住区,张庙街道,31.33291371,121.4369317
长江南路,居住区,高境镇,31.33412822,121.4871103
新江湾城,居住区,新江湾城街道,31.33081601,121.5024269
祁华路,居住区,顾村镇,31.33398711,121.3744202
上海大学,居住区,大场镇,31.32231869,121.3842762
南陈路,居住区,大场镇,31.32352797,121.3942449
殷高东路,居住区,新江湾城街道,31.32388009,121.502562
市光路,居住区,殷行街道,31.32478223,121.5276851
外高桥保税区南站,工作区,外高桥保税区,31.32385163,121.5977707
马陆,居住区,马陆镇,31.32166442,121.2726196
共康路,居住区,高境镇,31.32085203,121.4424504
殷高西路,居住区,高境镇,31.32175009,121.4804193
上大路,混合区,大场镇,31.3166101,121.4038562
三门路,混合区,新江湾城街道,31.31527135,121.5040409
